id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
502,argentina,MONO,23,45,ahre,alla
25,China,STEREO,3,284,Salon VR,arkanoid
58,China,MONO,3,338,Salon Carreras,arkanoid
93,Philippines,STEREO,3,120,Salon Retro,arkanoid
95,United States,MONO,2,218,Salon 6,arkanoid
125,Greece,STEREO,3,202,Salon 4,arkanoid
131,South Africa,MONO,2,290,Salon 5,arkanoid
187,Comoros,STEREO,2,275,Salon 5,arkanoid
188,Sweden,MONO,5,449,Salon Carreras,arkanoid
251,Mongolia,MONO,3,174,Salon Carreras,arkanoid
262,Nigeria,MONO,4,282,Salon 2021,arkanoid
297,Senegal,STEREO,2,367,Salon 6,arkanoid
335,Ukraine,MONO,3,216,Salon 4,arkanoid
341,Russia,STEREO,4,229,Salon VR,arkanoid
353,Japan,MONO,5,184,Salon 4,arkanoid
369,United Kingdom,STEREO,4,202,Salon Carreras,arkanoid
391,China,STEREO,4,423,Salon 4,arkanoid
393,Philippines,STEREO,3,336,Salon Retro,arkanoid
439,China,STEREO,3,201,Salon VR,arkanoid
474,Indonesia,MONO,4,142,Salon 5,arkanoid
488,Argentina,MONO,4,396,Salon VR,arkanoid
492,Portugal,STEREO,5,199,Salon Carreras,arkanoid
28,Sweden,MONO,2,147,Salon Retro,asteroids
30,France,MONO,4,480,Salon 1,asteroids
36,Indonesia,STEREO,5,469,Salon 2021,asteroids
73,China,MONO,4,167,Salon 2,asteroids
77,Poland,STEREO,3,122,Salon 3,asteroids
130,Argentina,STEREO,2,182,Salon 2021,asteroids
136,Armenia,MONO,3,374,Salon 4,asteroids
163,Russia,MONO,3,438,Salon 3,asteroids
165,Venezuela,STEREO,5,198,Salon 5,asteroids
168,Brazil,MONO,2,163,Salon 1,asteroids
286,Poland,STEREO,4,239,Salon 5,asteroids
331,China,STEREO,5,330,Salon Carreras,asteroids
362,Democratic Republic of the Congo,MONO,2,381,Salon 6,asteroids
420,Sweden,STEREO,2,183,Salon 3,asteroids
442,Dominican Republic,MONO,4,274,Salon 4,asteroids
482,Russia,STEREO,5,354,Salon 4,asteroids
3,Philippines,STEREO,5,414,Salon Carreras,bubble bobble
7,Indonesia,MONO,2,428,Salon 1,bubble bobble
22,Philippines,STEREO,3,456,Salon 6,bubble bobble
26,Cyprus,STEREO,3,482,Salon Retro,bubble bobble
50,Portugal,MONO,4,294,Salon 3,bubble bobble
94,China,STEREO,5,442,Salon Retro,bubble bobble
99,Philippines,STEREO,4,274,Salon Retro,bubble bobble
108,Russia,STEREO,3,477,Salon 6,bubble bobble
124,China,MONO,2,184,Salon 2021,bubble bobble
166,Sweden,MONO,2,197,Salon 1,bubble bobble
174,South Africa,STEREO,5,378,Salon VR,bubble bobble
178,Belarus,STEREO,2,425,Salon Carreras,bubble bobble
179,Benin,MONO,3,238,Salon 1,bubble bobble
184,Sweden,MONO,3,255,Salon 6,bubble bobble
206,United States,STEREO,5,317,Salon 6,bubble bobble
242,Indonesia,STEREO,4,462,Salon 2,bubble bobble
254,China,STEREO,5,211,Salon 1,bubble bobble
266,China,STEREO,2,138,Salon Carreras,bubble bobble
270,Sweden,STEREO,3,356,Salon 6,bubble bobble
274,Russia,STEREO,3,356,Salon 1,bubble bobble
281,Greece,MONO,5,238,Salon 4,bubble bobble
305,France,STEREO,5,267,Salon 6,bubble bobble
320,Portugal,STEREO,3,332,Salon VR,bubble bobble
365,Ethiopia,STEREO,4,488,Salon 2021,bubble bobble
372,Russia,STEREO,4,221,Salon Retro,bubble bobble
380,Indonesia,MONO,2,138,Salon 5,bubble bobble
415,China,STEREO,3,412,Salon VR,bubble bobble
446,Germany,STEREO,4,136,Salon VR,bubble bobble
458,China,MONO,4,348,Salon VR,bubble bobble
472,Iran,MONO,5,193,Salon 2,bubble bobble
38,Philippines,MONO,2,187,Salon 5,castelvania
65,Indonesia,MONO,4,260,Salon 1,castelvania
80,Czech Republic,MONO,4,385,Salon Carreras,castelvania
85,China,MONO,2,148,Salon 2021,castelvania
103,China,MONO,3,232,Salon VR,castelvania
114,Chile,STEREO,5,282,Salon 6,castelvania
126,Bolivia,MONO,5,391,Salon 2021,castelvania
155,China,MONO,3,397,Salon 6,castelvania
183,Japan,MONO,2,284,Salon 4,castelvania
198,Panama,STEREO,4,283,Salon Retro,castelvania
248,United States,MONO,4,304,Salon 1,castelvania
267,Mozambique,MONO,3,414,Salon VR,castelvania
299,China,MONO,3,113,Salon 4,castelvania
312,Indonesia,STEREO,2,218,Salon 6,castelvania
322,Greece,MONO,5,143,Salon VR,castelvania
343,Albania,MONO,2,375,Salon 6,castelvania
349,Russia,STEREO,3,371,Salon VR,castelvania
350,China,STEREO,2,247,Salon 5,castelvania
